nrmse,spectral_radius,material_w_in_0,material_w_in_1
0.25155190540420813,0.0,0.0,0.1
0.2517815477573229,0.2,0.0,0.1
0.2518637815456815,0.0,0.0,0.04
0.25238946485789276,0.2,0.0,0.04
0.25345675608002005,0.4,0.0,0.1
0.25432247317136397,0.0,0.0,0.01
0.2546641824018134,0.2,0.0,0.01
0.25494416365304073,0.4,0.0,0.04
0.2553422142454852,0.6,0.0,0.1
0.25685640777514185,0.4,0.0,0.01
0.25765645223197586,0.6,0.0,0.04
0.25822497909840514,0.8,0.0,0.1
0.2585556746705123,1.0,0.0,0.1
0.25889934355232846,0.6,0.0,0.01
0.2596047718577923,0.8,0.0,0.04
0.26344564665794806,0.8,0.0,0.01
0.264618855863474,1.0,0.0,0.04
0.2654554917782149,0.4,0.0,0.002
0.26553389309257025,0.6,0.0,0.002
0.2657488375815378,0.2,0.0,0.002
0.2658898565123025,0.0,0.0,0.002
0.2674887069341075,0.8,0.0,0.002
0.2679691635915077,1.0,0.0,0.01
0.2703635592899773,1.0,0.0,0.002
0.27104327421216917,1.0,0.0,0.001
0.2711755194281417,0.8,0.0,0.001
0.2723896513423778,0.6,0.0,0.001
0.27333400291319276,0.4,0.0,0.001
0.2739497201216597,0.0,0.0,0.001
0.2742859705186468,0.2,0.0,0.001
